,seqid,Dbxref,Name,Note
34341,Transcript_21953,"""Pfam:PF00406.18""",ADK,Adenylate kinase
34345,Transcript_21954,"""Pfam:PF00293.24""",NUDIX,NUDIX domain
34346,Transcript_21955,"""Pfam:PF04488.11""",Gly_transf_sug,Glycosyltransferase sugar-binding region containing DXD motif
34364,Transcript_21961,"""Pfam:PF00443.25""",UCH,Ubiquitin carboxyl-terminal hydrolase
34371,Transcript_21964,"""Pfam:PF00884.19""",Sulfatase,Sulfatase
34391,Transcript_21967,"""Pfam:PF00884.19""",Sulfatase,Sulfatase
34393,Transcript_21970,"""Pfam:PF00076.18""",RRM_1,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
34396,Transcript_21972,"""Pfam:PF01423.18""",LSM,LSM domain
34397,Transcript_21973,"""Pfam:PF04051.12""",TRAPP,Transport protein particle (TRAPP) component
34398,Transcript_21974,"""Pfam:PF00249.27""",Myb_DNA-binding,Myb-like DNA-binding domain
34405,Transcript_21976,"""Pfam:PF00504.17""",Chloroa_b-bind,Chlorophyll A-B binding protein
34406,Transcript_21978,"""Pfam:PF00504.17""",Chloroa_b-bind,Chlorophyll A-B binding protein
34407,Transcript_21981,"""Pfam:PF13621.2""",Cupin_8,Cupin-like domain
34409,Transcript_21982,"""Pfam:PF00892.16""",EamA,EamA-like transporter family
34411,Transcript_21983,"""Pfam:PF00397.22""",WW,WW domain
34414,Transcript_21985,"""Pfam:PF01734.18""",Patatin,Patatin-like phospholipase
34417,Transcript_21986,"""Pfam:PF11443.4""",DUF2828,Domain of unknown function (DUF2828)
34418,Transcript_21987,"""Pfam:PF04564.11""",U-box,U-box domain
34419,Transcript_21988,"""Pfam:PF03275.9""",GLF,UDP-galactopyranose mutase
34422,Transcript_21989,"""Pfam:PF02773.12""",S-AdoMet_synt_C,"S-adenosylmethionine synthetase, C-terminal domain"
27740,Transcript_2199,"""Pfam:PF13414.2""",TPR_11,TPR repeat
34425,Transcript_21992,"""Pfam:PF03847.9""",TFIID_20kDa,Transcription initiation factor TFIID subunit A
34430,Transcript_21994,"""Pfam:PF03629.14""",DUF303,Domain of unknown function (DUF303)
34435,Transcript_21999,"""Pfam:PF00999.17""",Na_H_Exchanger,Sodium/hydrogen exchanger family
23901,Transcript_22,"""Pfam:PF01257.15""",2Fe-2S_thioredx,Thioredoxin-like [2Fe-2S] ferredoxin
34436,Transcript_22003,"""Pfam:PF10672.5""",Methyltrans_SAM,S-adenosylmethionine-dependent methyltransferase
34447,Transcript_22004,"""Pfam:PF00168.26""",C2,C2 domain
34450,Transcript_22005,"""Pfam:PF00168.26""",C2,C2 domain
34453,Transcript_22006,"""Pfam:PF00071.18""",Ras,Ras family
34458,Transcript_22007,"""Pfam:PF00313.18""",CSD,'Cold-shock' DNA-binding domain
34512,Transcript_22011,"""Pfam:PF12796.3""",Ank_2,Ankyrin repeats (3 copies)
34526,Transcript_22012,"""Pfam:PF08652.7""",RAI1,RAI1 like PD-(D/E)XK nuclease
34527,Transcript_22015,"""Pfam:PF00134.19""",Cyclin_N,"Cyclin, N-terminal domain"
34529,Transcript_22016,"""Pfam:PF03747.10""",ADP_ribosyl_GH,ADP-ribosylglycohydrolase
34530,Transcript_22019,"""Pfam:PF13385.2""",Laminin_G_3,Concanavalin A-like lectin/glucanases superfamily
27755,Transcript_2202,"""Pfam:PF03030.12""",H_PPase,Inorganic H+ pyrophosphatase
34531,Transcript_22023,"""Pfam:PF03407.12""",Nucleotid_trans,Nucleotide-diphospho-sugar transferase
34532,Transcript_22025,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
34537,Transcript_22026,"""Pfam:PF02542.12""",YgbB,YgbB family
34538,Transcript_22028,"""Pfam:PF02567.12""",PhzC-PhzF,Phenazine biosynthesis-like protein
34549,Transcript_22029,"""Pfam:PF13432.2""",TPR_16,Tetratricopeptide repeat
34565,Transcript_22031,"""Pfam:PF10998.4""",DUF2838,Protein of unknown function (DUF2838)
34567,Transcript_22032,"""Pfam:PF01915.18""",Glyco_hydro_3_C,Glycosyl hydrolase family 3 C-terminal domain
34571,Transcript_22034,"""Pfam:PF01182.16""",Glucosamine_iso,Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
34572,Transcript_22036,"""Pfam:PF03067.11""",Chitin_bind_3,Chitin binding domain
34575,Transcript_22046,"""Pfam:PF00003.18""",7tm_3,7 transmembrane sweet-taste receptor of 3 GCPR
34578,Transcript_22066,"""Pfam:PF13692.2""",Glyco_trans_1_4,Glycosyl transferases group 1
34579,Transcript_22067,"""Pfam:PF10722.5""",YbjN,Putative bacterial sensory transduction regulator
34580,Transcript_22071,"""Pfam:PF03016.11""",Exostosin,Exostosin family
34581,Transcript_22073,"""Pfam:PF13593.2""",SBF_like,SBF-like CPA transporter family (DUF4137)
34587,Transcript_22076,"""Pfam:PF00514.19""",Arm,Armadillo/beta-catenin-like repeat
34595,Transcript_22078,"""Pfam:PF03372.19""",Exo_endo_phos,Endonuclease/Exonuclease/phosphatase family
34597,Transcript_22079,"""Pfam:PF00153.23""",Mito_carr,Mitochondrial carrier protein
34598,Transcript_22080,"""Pfam:PF00153.23""",Mito_carr,Mitochondrial carrier protein
34601,Transcript_22081,"""Pfam:PF07690.12""",MFS_1,Major Facilitator Superfamily
34604,Transcript_22085,"""Pfam:PF14765.2""",PS-DH,Polyketide synthase dehydratase
34605,Transcript_22089,"""Pfam:PF00975.16""",Thioesterase,Thioesterase domain
27756,Transcript_2209,"""Pfam:PF08212.8""",Lipocalin_2,Lipocalin-like domain
34608,Transcript_22090,"""Pfam:PF02668.12""",TauD,"Taurine catabolism dioxygenase TauD, TfdA family"
34609,Transcript_22095,"""Pfam:PF12775.3""",AAA_7,P-loop containing dynein motor region D3
34610,Transcript_22096,"""Pfam:PF03577.11""",Peptidase_C69,Peptidase family C69
34612,Transcript_22100,"""Pfam:PF04116.9""",FA_hydroxylase,Fatty acid hydroxylase superfamily
34613,Transcript_22105,"""Pfam:PF00231.15""",ATP-synt,ATP synthase
27757,Transcript_2211,"""Pfam:PF00092.24""",VWA,von Willebrand factor type A domain
34614,Transcript_22110,"""Pfam:PF00085.16""",Thioredoxin,Thioredoxin
34619,Transcript_22112,"""Pfam:PF09768.5""",Peptidase_M76,Peptidase M76 family
34620,Transcript_22114,"""Pfam:PF00067.18""",p450,Cytochrome P450
34621,Transcript_22120,"""Pfam:PF00237.15""",Ribosomal_L22,Ribosomal protein L22p/L17e
34624,Transcript_22122,"""Pfam:PF01841.15""",Transglut_core,Transglutaminase-like superfamily
34626,Transcript_22123,"""Pfam:PF00378.16""",ECH_1,Enoyl-CoA hydratase/isomerase
34631,Transcript_22127,"""Pfam:PF00504.17""",Chloroa_b-bind,Chlorophyll A-B binding protein
34632,Transcript_22128,"""Pfam:PF13578.2""",Methyltransf_24,Methyltransferase domain
34634,Transcript_22134,"""Pfam:PF00145.13""",DNA_methylase,C-5 cytosine-specific DNA methylase
27760,Transcript_2214,"""Pfam:PF13414.2""",TPR_11,TPR repeat
34635,Transcript_22142,"""Pfam:PF00447.13""",HSF_DNA-bind,HSF-type DNA-binding
34642,Transcript_22145,"""Pfam:PF01833.20""",TIG,IPT/TIG domain
34643,Transcript_22146,"""Pfam:PF00092.24""",VWA,von Willebrand factor type A domain
34649,Transcript_22148,"""Pfam:PF02493.16""",MORN,MORN repeat
34657,Transcript_22151,"""Pfam:PF13854.2""",Kelch_5,Kelch motif
34660,Transcript_22152,"""Pfam:PF13640.2""",2OG-FeII_Oxy_3,2OG-Fe(II) oxygenase superfamily
34666,Transcript_22153,"""Pfam:PF02493.16""",MORN,MORN repeat
34669,Transcript_22154,"""Pfam:PF00226.27""",DnaJ,DnaJ domain
34670,Transcript_22155,"""Pfam:PF00092.24""",VWA,von Willebrand factor type A domain
34671,Transcript_22156,"""Pfam:PF13086.2""",AAA_11,AAA domain
34680,Transcript_22165,"""Pfam:PF02338.15""",OTU,OTU-like cysteine protease
34681,Transcript_22170,"""Pfam:PF13715.2""",CarbopepD_reg_2,CarboxypepD_reg-like domain
34683,Transcript_22171,"""Pfam:PF13844.2""",Glyco_transf_41,Glycosyl transferase family 41
34684,Transcript_22174,"""Pfam:PF00155.17""",Aminotran_1_2,Aminotransferase class I and II
34685,Transcript_22188,"""Pfam:PF00520.27""",Ion_trans,Ion transport protein
34686,Transcript_22191,"""Pfam:PF16979.1""",SIN1_PH,"SAPK-interacting protein 1 (Sin1), Pleckstrin-homology"
34687,Transcript_22194,"""Pfam:PF00225.19""",Kinesin,Kinesin motor domain
34688,Transcript_22197,"""Pfam:PF01321.14""",Creatinase_N,Creatinase/Prolidase N-terminal domain
34696,Transcript_22200,"""Pfam:PF11969.4""",DcpS_C,Scavenger mRNA decapping enzyme C-term binding
34700,Transcript_22201,"""Pfam:PF12400.4""",DUF3661,Vaculolar membrane protein
34701,Transcript_22203,"""Pfam:PF02423.11""",OCD_Mu_crystall,Ornithine cyclodeaminase/mu-crystallin family
34702,Transcript_22204,"""Pfam:PF16499.1""",Melibiase_2,Alpha galactosidase A
34704,Transcript_22209,"""Pfam:PF01471.14""",PG_binding_1,Putative peptidoglycan binding domain
34721,Transcript_22219,"""Pfam:PF00004.25""",AAA,ATPase family associated with various cellular activities (AAA)
34725,Transcript_22220,"""Pfam:PF08238.8""",Sel1,Sel1 repeat
34732,Transcript_22221,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
34735,Transcript_22223,"""Pfam:PF13451.2""",zf-trcl,Probable zinc-ribbon domain
34739,Transcript_22225,"""Pfam:PF05670.9""",DUF814,Domain of unknown function (DUF814)
34742,Transcript_22226,"""Pfam:PF02678.12""",Pirin,Pirin
34744,Transcript_22227,"""Pfam:PF08565.7""",CDC37_M,Cdc37 Hsp90 binding domain
34750,Transcript_22230,"""Pfam:PF00397.22""",WW,WW domain
34751,Transcript_22233,"""Pfam:PF00387.15""",PI-PLC-Y,"Phosphatidylinositol-specific phospholipase C, Y domain"
34752,Transcript_22234,"""Pfam:PF00388.15""",PI-PLC-X,"Phosphatidylinositol-specific phospholipase C, X domain"
34753,Transcript_22235,"""Pfam:PF00856.24""",SET,SET domain
34756,Transcript_22236,"""Pfam:PF03647.9""",Tmemb_14,Transmembrane proteins 14C
34757,Transcript_22239,"""Pfam:PF09353.6""",DUF1995,Domain of unknown function (DUF1995)
34758,Transcript_22244,"""Pfam:PF13167.2""",GTP-bdg_N,GTP-binding GTPase N-terminal
34765,Transcript_22246,"""Pfam:PF00658.14""",PABP,"Poly-adenylate binding protein, unique domain"
34766,Transcript_22247,"""Pfam:PF03155.11""",Alg6_Alg8,"ALG6, ALG8 glycosyltransferase family"
34767,Transcript_22249,"""Pfam:PF01263.16""",Aldose_epim,Aldose 1-epimerase
34768,Transcript_22250,"""Pfam:PF03407.12""",Nucleotid_trans,Nucleotide-diphospho-sugar transferase
34769,Transcript_22251,"""Pfam:PF01370.17""",Epimerase,NAD dependent epimerase/dehydratase family
34772,Transcript_22252,"""Pfam:PF04616.10""",Glyco_hydro_43,Glycosyl hydrolases family 43
34773,Transcript_22253,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
34775,Transcript_22256,"""Pfam:PF00293.24""",NUDIX,NUDIX domain
34776,Transcript_22257,"""Pfam:PF05221.13""",AdoHcyase,S-adenosyl-L-homocysteine hydrolase
34778,Transcript_22258,"""Pfam:PF00888.18""",Cullin,Cullin family
27798,Transcript_2226,"""Pfam:PF05641.8""",Agenet,Agenet domain
34782,Transcript_22260,"""Pfam:PF01490.14""",Aa_trans,Transmembrane amino acid transporter protein
34783,Transcript_22261,"""Pfam:PF01490.14""",Aa_trans,Transmembrane amino acid transporter protein
34803,Transcript_22265,"""Pfam:PF01388.17""",ARID,ARID/BRIGHT DNA binding domain
34805,Transcript_22270,"""Pfam:PF05019.9""",Coq4,Coenzyme Q (ubiquinone) biosynthesis protein Coq4
34806,Transcript_22271,"""Pfam:PF02668.12""",TauD,"Taurine catabolism dioxygenase TauD, TfdA family"
34808,Transcript_22272,"""Pfam:PF03031.14""",NIF,NLI interacting factor-like phosphatase
34809,Transcript_22274,"""Pfam:PF14666.2""",RICTOR_M,"Rapamycin-insensitive companion of mTOR, middle domain"
34811,Transcript_22275,"""Pfam:PF00249.27""",Myb_DNA-binding,Myb-like DNA-binding domain
34812,Transcript_22276,"""Pfam:PF07859.9""",Abhydrolase_3,alpha/beta hydrolase fold
34815,Transcript_22279,"""Pfam:PF03016.11""",Exostosin,Exostosin family
34816,Transcript_22281,"""Pfam:PF07059.8""",DUF1336,Protein of unknown function (DUF1336)
34818,Transcript_22283,"""Pfam:PF00232.14""",Glyco_hydro_1,Glycosyl hydrolase family 1
34821,Transcript_22284,"""Pfam:PF03102.10""",NeuB,NeuB family
34834,Transcript_22286,"""Pfam:PF00406.18""",ADK,Adenylate kinase
34838,Transcript_22287,"""Pfam:PF01411.15""",tRNA-synt_2c,tRNA synthetases class II (A)
34845,Transcript_22290,"""Pfam:PF01554.14""",MatE,MatE
34849,Transcript_22294,"""Pfam:PF00431.16""",CUB,CUB domain
34851,Transcript_22296,"""Pfam:PF02367.13""",TsaE,Threonylcarbamoyl adenosine biosynthesis protein TsaE
27800,Transcript_2230,"""Pfam:PF00857.16""",Isochorismatase,Isochorismatase family
34852,Transcript_22300,"""Pfam:PF00168.26""",C2,C2 domain
34862,Transcript_22301,"""Pfam:PF00168.26""",C2,C2 domain
34865,Transcript_22304,"""Pfam:PF00514.19""",Arm,Armadillo/beta-catenin-like repeat
34870,Transcript_22305,"""Pfam:PF00297.18""",Ribosomal_L3,Ribosomal protein L3
34874,Transcript_22306,"""Pfam:PF05048.9""",NosD,Periplasmic copper-binding protein (NosD)
34875,Transcript_22307,"""Pfam:PF01809.14""",Haemolytic,Haemolytic domain
27802,Transcript_2231,"""Pfam:PF00415.14""",RCC1,Regulator of chromosome condensation (RCC1) repeat
34877,Transcript_22315,"""Pfam:PF16639.1""",Apocytochr_F_N,"Apocytochrome F, N-terminal"
34878,Transcript_22317,"""Pfam:PF00004.25""",AAA,ATPase family associated with various cellular activities (AAA)
34882,Transcript_22318,"""Pfam:PF00756.16""",Esterase,Putative esterase
34883,Transcript_22322,"""Pfam:PF04418.8""",DUF543,Domain of unknown function (DUF543)
34884,Transcript_22324,"""Pfam:PF04800.8""",ETC_C1_NDUFA4,ETC complex I subunit conserved region
34887,Transcript_22333,"""Pfam:PF12796.3""",Ank_2,Ankyrin repeats (3 copies)
34888,Transcript_22337,"""Pfam:PF00481.17""",PP2C,Protein phosphatase 2C
34890,Transcript_22339,"""Pfam:PF02375.13""",JmjN,jmjN domain
34891,Transcript_22340,"""Pfam:PF00175.17""",NAD_binding_1,Oxidoreductase NAD-binding domain
34892,Transcript_22344,"""Pfam:PF00454.23""",PI3_PI4_kinase,Phosphatidylinositol 3- and 4-kinase
34893,Transcript_22345,"""Pfam:PF03009.13""",GDPD,Glycerophosphoryl diester phosphodiesterase family
34895,Transcript_22349,"""Pfam:PF00324.17""",AA_permease,Amino acid permease
27804,Transcript_2235,"""Pfam:PF09729.5""",Gti1_Pac2,Gti1/Pac2 family
34896,Transcript_22359,"""Pfam:PF13637.2""",Ank_4,Ankyrin repeats (many copies)
34900,Transcript_22361,"""Pfam:PF13424.2""",TPR_12,Tetratricopeptide repeat
34913,Transcript_22369,"""Pfam:PF02750.10""",Synapsin_C,"Synapsin, ATP binding domain"
34916,Transcript_22376,"""Pfam:PF13414.2""",TPR_11,TPR repeat
34937,Transcript_22378,"""Pfam:PF00888.18""",Cullin,Cullin family
34941,Transcript_22379,"""Pfam:PF07690.12""",MFS_1,Major Facilitator Superfamily
34943,Transcript_22381,"""Pfam:PF03567.10""",Sulfotransfer_2,Sulfotransferase family
34944,Transcript_22385,"""Pfam:PF13307.2""",Helicase_C_2,Helicase C-terminal domain
34946,Transcript_22388,"""Pfam:PF06602.10""",Myotub-related,Myotubularin-like phosphatase domain
34947,Transcript_22389,"""Pfam:PF00150.14""",Cellulase,Cellulase (glycosyl hydrolase family 5)
34955,Transcript_22394,"""Pfam:PF00982.17""",Glyco_transf_20,Glycosyltransferase family 20
34956,Transcript_22395,"""Pfam:PF00982.17""",Glyco_transf_20,Glycosyltransferase family 20
34957,Transcript_22396,"""Pfam:PF00027.25""",cNMP_binding,Cyclic nucleotide-binding domain
34959,Transcript_22397,"""Pfam:PF00063.17""",Myosin_head,Myosin head (motor domain)
34960,Transcript_22398,"""Pfam:PF00063.17""",Myosin_head,Myosin head (motor domain)
34962,Transcript_22403,"""Pfam:PF13913.2""",zf-C2HC_2,zinc-finger of a C2HC-type
34965,Transcript_22408,"""Pfam:PF03028.11""",Dynein_heavy,Dynein heavy chain and region D6 of dynein motor
34968,Transcript_22409,"""Pfam:PF03028.11""",Dynein_heavy,Dynein heavy chain and region D6 of dynein motor
34975,Transcript_22410,"""Pfam:PF01762.17""",Galactosyl_T,Galactosyltransferase
34976,Transcript_22412,"""Pfam:PF00485.14""",PRK,Phosphoribulokinase / Uridine kinase family
34978,Transcript_22413,"""Pfam:PF12340.4""",DUF3638,Protein of unknown function (DUF3638)
34980,Transcript_22414,"""Pfam:PF00632.21""",HECT,HECT-domain (ubiquitin-transferase)
34998,Transcript_22416,"""Pfam:PF00733.17""",Asn_synthase,Asparagine synthase
27809,Transcript_2242,"""Pfam:PF13659.2""",Methyltransf_26,Methyltransferase domain
34999,Transcript_22420,"""Pfam:PF07534.12""",TLD,TLD
35000,Transcript_22421,"""Pfam:PF08627.6""",CRT-like,"CRT-like, chloroquine-resistance transporter-like"
35001,Transcript_22422,"""Pfam:PF03151.12""",TPT,Triose-phosphate Transporter family
35004,Transcript_22423,"""Pfam:PF01904.14""",DUF72,Protein of unknown function DUF72
35009,Transcript_22429,"""Pfam:PF00498.22""",FHA,FHA domain
35010,Transcript_22430,"""Pfam:PF05686.8""",Glyco_transf_90,Glycosyl transferase family 90
35012,Transcript_22432,"""Pfam:PF07394.8""",DUF1501,Protein of unknown function (DUF1501)
35013,Transcript_22433,"""Pfam:PF00648.17""",Peptidase_C2,Calpain family cysteine protease
35016,Transcript_22434,"""Pfam:PF00648.17""",Peptidase_C2,Calpain family cysteine protease
35019,Transcript_22435,"""Pfam:PF04515.8""",Choline_transpo,Plasma-membrane choline transporter
35023,Transcript_22436,"""Pfam:PF13414.2""",TPR_11,TPR repeat
35048,Transcript_22438,"""Pfam:PF06813.9""",Nodulin-like,Nodulin-like
35050,Transcript_22440,"""Pfam:PF03382.10""",DUF285,"Mycoplasma protein of unknown function, DUF285"
35052,Transcript_22442,"""Pfam:PF00348.13""",polyprenyl_synt,Polyprenyl synthetase
35053,Transcript_22448,"""Pfam:PF00248.17""",Aldo_ket_red,Aldo/keto reductase family
27811,Transcript_2245,"""Pfam:PF05833.7""",FbpA,Fibronectin-binding protein A N-terminus (FbpA)
35055,Transcript_22450,"""Pfam:PF07690.12""",MFS_1,Major Facilitator Superfamily
35058,Transcript_22451,"""Pfam:PF00481.17""",PP2C,Protein phosphatase 2C
35059,Transcript_22455,"""Pfam:PF10436.5""",BCDHK_Adom3,Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
35061,Transcript_22456,"""Pfam:PF04142.11""",Nuc_sug_transp,Nucleotide-sugar transporter
35103,Transcript_22458,"""Pfam:PF01920.16""",Prefoldin_2,Prefoldin subunit
35104,Transcript_22461,"""Pfam:PF05686.8""",Glyco_transf_90,Glycosyl transferase family 90
35105,Transcript_22462,"""Pfam:PF05686.8""",Glyco_transf_90,Glycosyl transferase family 90
35107,Transcript_22464,"""Pfam:PF16499.1""",Melibiase_2,Alpha galactosidase A
35109,Transcript_22465,"""Pfam:PF03133.11""",TTL,Tubulin-tyrosine ligase family
35110,Transcript_22466,"""Pfam:PF03133.11""",TTL,Tubulin-tyrosine ligase family
35116,Transcript_22467,"""Pfam:PF03133.11""",TTL,Tubulin-tyrosine ligase family
35117,Transcript_22469,"""Pfam:PF04857.16""",CAF1,CAF1 family ribonuclease
35118,Transcript_22470,"""Pfam:PF00933.17""",Glyco_hydro_3,Glycosyl hydrolase family 3 N terminal domain
35121,Transcript_22474,"""Pfam:PF00800.14""",PDT,Prephenate dehydratase
35125,Transcript_22479,"""Pfam:PF00063.17""",Myosin_head,Myosin head (motor domain)
27812,Transcript_2248,"""Pfam:PF14533.2""",USP7_C2,Ubiquitin-specific protease C-terminal
35126,Transcript_22480,"""Pfam:PF00412.18""",LIM,LIM domain
35128,Transcript_22481,"""Pfam:PF00982.17""",Glyco_transf_20,Glycosyltransferase family 20
35129,Transcript_22482,"""Pfam:PF02358.12""",Trehalose_PPase,Trehalose-phosphatase
35133,Transcript_22483,"""Pfam:PF00027.25""",cNMP_binding,Cyclic nucleotide-binding domain
35134,Transcript_22484,"""Pfam:PF00856.24""",SET,SET domain
35135,Transcript_22486,"""Pfam:PF08317.7""",Spc7,Spc7 kinetochore protein
27813,Transcript_2249,"""Pfam:PF03547.14""",Mem_trans,Membrane transport protein
35136,Transcript_22490,"""Pfam:PF00628.25""",PHD,PHD-finger
35137,Transcript_22497,"""Pfam:PF04564.11""",U-box,U-box domain
35138,Transcript_22498,"""Pfam:PF04564.11""",U-box,U-box domain
24262,Transcript_225,"""Pfam:PF00025.17""",Arf,ADP-ribosylation factor family
35140,Transcript_22507,"""Pfam:PF13424.2""",TPR_12,Tetratricopeptide repeat
35149,Transcript_22510,"""Pfam:PF00225.19""",Kinesin,Kinesin motor domain
35162,Transcript_22519,"""Pfam:PF13499.2""",EF-hand_7,EF-hand domain pair
35171,Transcript_22523,"""Pfam:PF02668.12""",TauD,"Taurine catabolism dioxygenase TauD, TfdA family"
35172,Transcript_22524,"""Pfam:PF08837.7""",DUF1810,Protein of unknown function (DUF1810)
35174,Transcript_22526,"""Pfam:PF02550.11""",AcetylCoA_hydro,Acetyl-CoA hydrolase/transferase N-terminal domain
35176,Transcript_22530,"""Pfam:PF00270.25""",DEAD,DEAD/DEAH box helicase
35182,Transcript_22531,"""Pfam:PF13661.2""",2OG-FeII_Oxy_4,2OG-Fe(II) oxygenase superfamily
35183,Transcript_22535,"""Pfam:PF14421.2""",LmjF365940-deam,A distinct subfamily of CDD/CDA-like deaminases
35184,Transcript_22536,"""Pfam:PF00155.17""",Aminotran_1_2,Aminotransferase class I and II
35185,Transcript_22537,"""Pfam:PF03588.10""",Leu_Phe_trans,Leucyl/phenylalanyl-tRNA protein transferase
35187,Transcript_22538,"""Pfam:PF13086.2""",AAA_11,AAA domain
35188,Transcript_22543,"""Pfam:PF00383.18""",dCMP_cyt_deam_1,Cytidine and deoxycytidylate deaminase zinc-binding region
35189,Transcript_22550,"""Pfam:PF00675.16""",Peptidase_M16,Insulinase (Peptidase family M16)
35193,Transcript_22552,"""Pfam:PF00012.16""",HSP70,Hsp70 protein
35195,Transcript_22554,"""Pfam:PF09229.7""",Aha1_N,"Activator of Hsp90 ATPase, N-terminal"
35196,Transcript_22555,"""Pfam:PF04773.9""",FecR,FecR protein
35197,Transcript_22562,"""Pfam:PF05608.8""",DUF778,Protein of unknown function (DUF778)
35199,Transcript_22568,"""Pfam:PF00241.16""",Cofilin_ADF,Cofilin/tropomyosin-type actin-binding protein
35200,Transcript_22574,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
35201,Transcript_22578,"""Pfam:PF13679.2""",Methyltransf_32,Methyltransferase domain
35203,Transcript_22579,"""Pfam:PF00153.23""",Mito_carr,Mitochondrial carrier protein
35205,Transcript_22582,"""Pfam:PF01242.15""",PTPS,6-pyruvoyl tetrahydropterin synthase
35206,Transcript_22584,"""Pfam:PF00258.21""",Flavodoxin_1,Flavodoxin
35207,Transcript_22586,"""Pfam:PF01655.14""",Ribosomal_L32e,Ribosomal protein L32
35208,Transcript_22595,"""Pfam:PF01062.17""",Bestrophin,"Bestrophin, RFP-TM, chloride channel"
35209,Transcript_22596,"""Pfam:PF05050.8""",Methyltransf_21,Methyltransferase FkbM domain
35210,Transcript_22599,"""Pfam:PF00071.18""",Ras,Ras family
35211,Transcript_22600,"""Pfam:PF00787.20""",PX,PX domain
35212,Transcript_22602,"""Pfam:PF10075.5""",CSN8_PSD8_EIF3K,CSN8/PSMD8/EIF3K family
35213,Transcript_22603,"""Pfam:PF13489.2""",Methyltransf_23,Methyltransferase domain
35220,Transcript_22607,"""Pfam:PF01008.13""",IF-2B,Initiation factor 2 subunit family
35221,Transcript_22611,"""Pfam:PF00478.21""",IMPDH,IMP dehydrogenase / GMP reductase domain
35229,Transcript_22618,"""Pfam:PF00810.14""",ER_lumen_recept,ER lumen protein retaining receptor
35232,Transcript_22621,"""Pfam:PF08449.7""",UAA,UAA transporter family
35235,Transcript_22623,"""Pfam:PF00013.25""",KH_1,KH domain
35244,Transcript_22624,"""Pfam:PF07690.12""",MFS_1,Major Facilitator Superfamily
35245,Transcript_22625,"""Pfam:PF13847.2""",Methyltransf_31,Methyltransferase domain
35252,Transcript_22626,"""Pfam:PF02737.14""",3HCDH_N,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain"
35255,Transcript_22627,"""Pfam:PF04117.8""",Mpv17_PMP22,Mpv17 / PMP22 family
35256,Transcript_22628,"""Pfam:PF07885.12""",Ion_trans_2,Ion channel
35265,Transcript_22629,"""Pfam:PF00069.21""",Pkinase,Protein kinase domain
35267,Transcript_22635,"""Pfam:PF13238.2""",AAA_18,AAA domain
35272,Transcript_22637,"""Pfam:PF08564.6""",CDC37_C,Cdc37 C terminal domain
35273,Transcript_22638,"""Pfam:PF16201.1""",NopRA1,Nucleolar pre-ribosomal-associated protein 1
35274,Transcript_22639,"""Pfam:PF16363.1""",GDP_Man_Dehyd,"GDP-mannose 4,6 dehydratase"
35278,Transcript_22640,"""Pfam:PF00270.25""",DEAD,DEAD/DEAH box helicase
35281,Transcript_22648,"""Pfam:PF12796.3""",Ank_2,Ankyrin repeats (3 copies)
35292,Transcript_22651,"""Pfam:PF00638.14""",Ran_BP1,RanBP1 domain
35293,Transcript_22652,"""Pfam:PF00071.18""",Ras,Ras family
35298,Transcript_22656,"""Pfam:PF00650.16""",CRAL_TRIO,CRAL/TRIO domain
35299,Transcript_22658,"""Pfam:PF05786.10""",Cnd2,Condensin complex subunit 2
35300,Transcript_22669,"""Pfam:PF00498.22""",FHA,FHA domain
27814,Transcript_2267,"""Pfam:PF02929.13""",Bgal_small_N,Beta galactosidase small chain
35306,Transcript_22670,"""Pfam:PF01596.13""",Methyltransf_3,O-methyltransferase
35307,Transcript_22671,"""Pfam:PF01596.13""",Methyltransf_3,O-methyltransferase
35311,Transcript_22674,"""Pfam:PF00076.18""",RRM_1,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
35319,Transcript_22681,"""Pfam:PF13855.2""",LRR_8,Leucine rich repeat
35330,Transcript_22682,"""Pfam:PF09055.7""",Sod_Ni,Nickel-containing superoxide dismutase
35331,Transcript_22683,"""Pfam:PF02138.14""",Beach,Beige/BEACH domain
35335,Transcript_22684,"""Pfam:PF00076.18""",RRM_1,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
35336,Transcript_22687,"""Pfam:PF02847.13""",MA3,MA3 domain
35337,Transcript_22689,"""Pfam:PF00012.16""",HSP70,Hsp70 protein
35347,Transcript_22691,"""Pfam:PF00051.14""",Kringle,Kringle domain
35348,Transcript_22694,"""Pfam:PF00202.17""",Aminotran_3,Aminotransferase class-III
35349,Transcript_22695,"""Pfam:PF01145.21""",Band_7,SPFH domain / Band 7 family
35350,Transcript_22696,"""Pfam:PF02798.16""",GST_N,"Glutathione S-transferase, N-terminal domain"
35353,Transcript_22698,"""Pfam:PF00270.25""",DEAD,DEAD/DEAH box helicase
35358,Transcript_22699,"""Pfam:PF04564.11""",U-box,U-box domain
